ClassID,Price,PriceRatio,StampCount,ClassName,Category,Gender,ItemClassName,EquipType,JobOnly,SellStartTime,SellEndTime,PackageList,IsPremium,TAG,ItemAddDate,BuyMessage
11,-1,0,0,EP13_costume_Com_054,,M,EP13_costume_Com_054,costume,,,,,NO,,,NotBuy_Thema
12,-1,0,0,EP13_costume_Com_056,,M,EP13_costume_Com_056,costume,,,,,NO,,,NotBuy_Thema
13,-1,0,0,EP13_costume_Com_058,,M,EP13_costume_Com_058,costume,,,,,NO,,,NotBuy_Thema
14,-1,0,0,EP13_costume_Com_060,,M,EP13_costume_Com_060,costume,,,,,NO,,,NotBuy_Thema
15,-1,0,0,EP13_costume_Com_062,,M,EP13_costume_Com_062,costume,,,,,NO,,,NotBuy_Thema
16,-1,0,0,EP13_costume_Com_064,,M,EP13_costume_Com_064,costume,,,,,NO,,,NotBuy_Thema
21,-1,0,0,EP13_costume_Com_055,,F,EP13_costume_Com_055,costume,,,,,NO,,,NotBuy_Thema
22,-1,0,0,EP13_costume_Com_057,,F,EP13_costume_Com_057,costume,,,,,NO,,,NotBuy_Thema
23,-1,0,0,EP13_costume_Com_059,,F,EP13_costume_Com_059,costume,,,,,NO,,,NotBuy_Thema
24,-1,0,0,EP13_costume_Com_061,,F,EP13_costume_Com_061,costume,,,,,NO,,,NotBuy_Thema
25,-1,0,0,EP13_costume_Com_063,,F,EP13_costume_Com_063,costume,,,,,NO,,,NotBuy_Thema
26,-1,0,0,EP13_costume_Com_065,,F,EP13_costume_Com_065,costume,,,,,NO,,,NotBuy_Thema
31,-1,0,0,EP13_Artefact_012,,,EP13_Artefact_012,weapon,,,,,NO,,,NotBuy_Thema
32,-1,0,0,EP13_Artefact_013,,,EP13_Artefact_013,weapon,,,,,NO,,,NotBuy_Thema
33,-1,0,0,EP13_Artefact_014,,,EP13_Artefact_014,weapon,,,,,NO,,,NotBuy_Thema
71,-1,0,0,EP13_Hat_010,,,EP13_Hat_010,hair_costume,,,,,NO,,,NotBuy_Thema
72,-1,0,0,Hat_628208,,,Hat_628208,hair_costume,,,,,NO,,,NotBuy_Thema
73,-1,0,0,Hat_628209,,,Hat_628209,hair_costume,,,,,NO,,,NotBuy_Thema
74,-1,0,0,Hat_628210,,,Hat_628210,hair_costume,,,,,NO,,,NotBuy_Thema
75,-1,0,0,Hat_628211,,,Hat_628211,hair_costume,,,,,NO,,,NotBuy_Thema
76,-1,0,0,Hat_628212,,,Hat_628212,hair_costume,,,,,NO,,,NotBuy_Thema
77,-1,0,0,Hat_628213,,,Hat_628213,hair_costume,,,,,NO,,,NotBuy_Thema
78,-1,0,0,Hat_628214,,,Hat_628214,hair_costume,,,,,NO,,,NotBuy_Thema
79,-1,0,0,Hat_628215,,,Hat_628215,hair_costume,,,,,NO,,,NotBuy_Thema
80,-1,0,0,Hat_628216,,,Hat_628216,hair_costume,,,,,NO,,,NotBuy_Thema
81,-1,0,0,Hat_628217,,,Hat_628217,hair_costume,,,,,NO,,,NotBuy_Thema
82,-1,0,0,Hat_628218,,,Hat_628218,hair_costume,,,,,NO,,,NotBuy_Thema
83,-1,0,0,Hat_628219,,,Hat_628219,hair_costume,,,,,NO,,,NotBuy_Thema
84,-1,0,0,Hat_628221,,,Hat_628221,hair_costume,,,,,NO,,,NotBuy_Thema
85,-1,0,0,Hat_628222,,,Hat_628222,hair_costume,,,,,NO,,,NotBuy_Thema
