ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-2167.1455,109.7638,-153.8053,-174,미르키티 농장
2,2,2445.227,209.9945,-1354.7896,-95,기티스의 개척지
3,3,653.14813,109.7638,1595.5608,95,테넌츠 농장
4,4,1751.957,87.0957,-254.42114,0,주황 하밍
5,4,1634.8734,87.0957,-164.11676,0,주황 하밍
7,4,1568.3937,87.0957,-418.82663,0,주황 하밍
8,4,1922.708,87.0957,-403.98215,0,주황 하밍
9,4,-532.9088,39.28708,-1445.4198,0,주황 하밍
10,4,-372.2908,39.28708,-1329.02,0,주황 하밍
11,4,1098.882,87.0957,-925.602,0,주황 하밍
12,4,1108.7764,87.09567,-750.5501,0,주황 하밍
13,4,685.12286,204.33322,-283.75693,0,주황 하밍
14,4,375.2167,204.33322,-218.60118,0,주황 하밍
15,4,384.70438,204.33325,-448.3108,0,주황 하밍
16,4,433.509,204.3332,6.3760414,0,주황 하밍
17,5,330.39664,204.33322,-347.969,0,주황 포포리온
18,5,616.80023,204.3332,-129.71902,0,주황 포포리온
19,5,234.35995,204.3332,-209.06343,0,주황 포포리온
20,5,-981.36395,109.7638,-208.85327,0,주황 포포리온
21,5,-910.8654,109.7638,-4.8265,0,주황 포포리온
22,5,-657.52496,109.7638,-125.99927,0,주황 포포리온
23,5,-210.96652,59.5091,1012.5328,0,주황 포포리온
24,5,134.199,59.5091,1001.9471,0,주황 포포리온
25,5,9.163158,59.5091,867.0294,0,주황 포포리온
26,5,-472.1657,102.8139,708.0958,0,주황 포포리온
27,5,-363.3664,102.8139,487.67755,0,주황 포포리온
29,5,1305.0178,43.7678,359.8401,0,주황 포포리온
30,5,1129.4753,43.7678,386.48456,0,주황 포포리온
31,6,52.29598,59.5091,991.3111,0,주황 포포리온
32,7,1409.0181,87.0957,-166.22139,-58,타다스
33,8,322.8973,196.8403,-684.45557,-26,스테파스
34,9,579.1995,87.0957,-1442.9506,90,야우뉴스
35,10,-1134.645,109.7637,-883.16833,0,마류스
36,11,-597.6574,102.8139,805.8318,14,달류스
38,13,577.0094,87.0957,-1443.1907,5,UnvisibleName
39,14,-882.586,109.7638,-107.04771,0,음식 부패 이벤트 발생
40,15,1456.0955,15.7804,935.0627,179,잠든 스콜피오
41,16,1324.2186,87.0957,-699.37494,0,UnvisibleName
42,16,949.69574,87.0957,-905.37646,0,UnvisibleName
43,16,938.26056,87.0957,-728.249,0,UnvisibleName
44,16,944.3602,87.0957,-581.2766,0,UnvisibleName
45,16,1115.646,87.0957,-410.42416,0,UnvisibleName
46,16,1468.3702,87.0957,-800.21924,0,UnvisibleName
47,16,1391.8567,87.0957,-993.9375,0,UnvisibleName
48,16,1232.5906,87.0957,-1097.7174,0,UnvisibleName
49,17,313.40253,115.24083,526.9075,0,UnvisibleName
50,17,535.05176,125.41686,516.7803,0,UnvisibleName
51,17,415.45758,80.40698,778.3999,0,UnvisibleName
52,17,147.08965,59.5091,724.4778,0,UnvisibleName
53,17,28.419277,59.5091,1161.6616,0,UnvisibleName
54,17,337.55,150.64938,278.4632,0,UnvisibleName
55,17,114.79106,59.5091,952.87146,0,UnvisibleName
56,17,442.71585,201.0161,77.861885,0,UnvisibleName
57,17,267.1527,195.71782,109.16023,0,UnvisibleName
58,17,-79.05367,59.5091,727.90015,0,UnvisibleName
59,14,213.03348,59.5091,842.4278,18,음식 부패 이벤트 발생
60,18,-897.75256,109.76376,135.21342,18,UnvisibleName
64,17,-3.5520782,59.5091,748.75,18,UnvisibleName
65,17,9.720314,59.5091,752.8385,18,UnvisibleName
70,20,1410.7577,87.0957,-208.10957,0,UnvisibleName
71,20,1427.3356,87.0957,-191.58095,-113,UnvisibleName
72,21,1404.2604,87.0957,-194.62752,0,UnvisibleName
75,23,-519.3815,39.2871,-1442.7583,0,주황 포포리온
76,23,-423.71564,39.2871,-1139.8054,0,주황 포포리온
77,24,-558.42786,39.2871,-1247.656,0,나무뿌리 수정
78,24,203.78773,87.0957,-1247.5536,0,나무뿌리 수정
79,24,638.761,87.0957,-1281.0414,0,나무뿌리 수정
80,24,1077.0094,87.0957,-990.18054,0,나무뿌리 수정
81,24,1157.1567,87.0957,-591.5936,0,나무뿌리 수정
82,24,1611.8226,87.0957,-473.61996,0,나무뿌리 수정
83,24,2077.519,87.0957,-255.14734,0,나무뿌리 수정
84,24,2384.3032,209.9945,-823.8707,0,나무뿌리 수정
85,24,1637.1941,87.0957,-85.09137,0,나무뿌리 수정
