ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-79,79,-1799,270
5,5,-463.65042,81.97291,-370.68466,-90
24,7,-1398.8334,203.54248,1002.4848,0
25,7,-1174.8516,215.7345,1444.4144,0
26,7,-539.8811,247.34386,1336.6653,0
27,7,-532.4746,265.1106,1551.929,0
28,7,-748.558,215.7345,1178.5981,0
29,7,-1550.4448,312.2391,1859.0992,0
30,7,-1071.4789,312.2391,1895.6677,0
31,7,-198.28134,215.7345,1155.0245,0
32,7,-694.68634,124.4862,745.0368,0
33,7,-1178.5803,124.4862,587.21936,0
34,7,-844.98157,124.4862,990.2625,0
35,7,-696.8855,78.799255,470.77045,0
36,7,-1331.6216,78.6691,345.56104,0
37,7,-705.044,26.9141,207.13321,0
38,7,-352.01205,79.129166,560.4924,0
39,7,-75.359055,26.9143,46.010704,0
40,7,56.834812,26.9143,370.7228,0
41,7,-117.21287,26.9143,280.34833,0
42,7,-497.62064,49.5751,-46.80145,0
43,7,-183.74542,124.4862,851.06934,0
44,7,-1168.1509,215.7345,1182.3329,0
45,7,-1477.852,215.7345,1374.5251,0
46,7,-776.41425,26.9141,263.55588,0
47,7,-680.1299,24.815,-104.72784,0
48,7,-1140.5608,24.815,-99.89363,0
49,7,-1538.1171,79.1888,-152.93031,0
50,7,-1760.8013,80.68733,-288.0963,0
51,7,-1322.542,104.40521,-417.86954,0
52,7,-894.5571,121.7772,-390.87717,0
53,7,-709.3102,121.7772,-341.3824,0
54,7,-982.24133,121.7772,-444.03085,0
55,7,-1185.2357,122.6973,-728.0346,0
56,7,-1589.0244,122.6973,-847.2204,0
57,7,-1436.0116,122.6973,-1049.4102,0
58,7,-1218.7526,150.3813,-908.98914,0
59,7,-1415.5243,122.6973,-586.35565,0
60,7,-1006.4227,122.6973,-996.1215,0
61,7,-1091.8507,122.6973,-1250.9208,0
62,7,-826.6907,80.45877,-695.81067,0
63,7,-886.06213,122.45615,-1278.5863,0
64,7,-580.072,80.81295,-828.5039,0
65,7,-571.4811,80.81399,-1115.2028,0
66,7,-599.8476,81.915115,-1452.6396,0
67,7,-694.28937,82.338806,-1327.0383,0
68,7,-423.83026,78.70962,322.8321,0
69,8,-1586.5829,122.6973,-814.6048,0
70,8,-1309.6589,122.6973,-698.6294,0
71,8,-1062.3527,143.39485,-881.42084,0
72,8,-1375.785,150.3813,-972.9156,0
73,8,-1248.9911,150.3813,-930.00214,0
74,8,-1126.522,150.3813,-956.3806,0
75,8,-1578.3522,122.6973,-1097.9912,0
76,8,-1441.4775,122.6973,-588.5265,0
77,8,-1385.5905,122.6973,-726.576,0
78,8,-1501.4785,122.6973,-668.94714,0
79,8,-1008.7426,122.6973,-783.1044,0
80,8,-957.4491,122.6973,-1206.9758,0
81,8,-1077.2949,122.6973,-1362.5653,0
82,8,-1109.9226,122.6973,-1234.5431,0
83,8,-760.61414,83.08509,-1277.9403,0
84,8,-636.7936,81.93315,-1375.116,0
85,8,-425.1274,80.79839,-1236.2716,0
86,8,-488.611,81.87572,-984.7783,0
87,8,-710.52246,80.872574,-1039.4331,0
88,8,-504.87054,81.726295,-817.3551,0
89,8,-817.2405,80.6983,-785.7892,0
90,8,-816.81165,80.4152,-601.85815,0
91,8,-1005.0144,81.24412,-614.64264,0
92,8,-467.03418,82.79758,-731.3425,0
93,8,-280.742,82.15412,-770.6413,0
94,8,187.06184,156.0808,-842.1144,0
95,8,36.992455,156.0808,-684.1312,0
96,8,1049.5848,82.80962,-414.43906,0
97,8,-58.21213,170.02597,-1083.0885,0
98,8,-201.64224,82.8096,-1441.0398,0
99,8,1083.4099,44.2286,-675.7452,0
100,8,-314.754,80.76149,-1488.3412,0
