ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,286.26324,508.6087,-1124.0376,0,하얀 스피온
2,1,187.7653,508.6087,-925.4732,0,하얀 스피온
3,1,446.64896,508.6087,-698.08594,0,하얀 스피온
4,1,487.1742,508.6087,-979.9568,0,하얀 스피온
5,1,584.1585,508.6087,-1169.6399,0,하얀 스피온
6,1,-470.04993,406.1362,-1034.1079,0,하얀 스피온
7,1,-442.07565,406.1362,-804.5174,0,하얀 스피온
8,1,-1178.5353,452.60416,-454.5954,0,하얀 스피온
9,1,60.507328,370.43307,587.6525,0,하얀 스피온
10,1,-1165.7069,452.60416,-301.63406,0,하얀 스피온
11,1,-1027.593,452.60416,-212.16418,0,하얀 스피온
12,1,-1317.113,452.60416,-266.27277,0,하얀 스피온
13,1,82.32117,370.43274,551.29877,0,하얀 스피온
14,1,-907.64105,452.58887,-307.87485,0,하얀 스피온
15,1,399.60223,374.31052,48.02597,0,하얀 스피온
16,1,578.47876,374.31052,-158.3185,0,하얀 스피온
17,1,626.1218,374.31052,27.450447,0,하얀 스피온
18,1,1029.1605,319.71475,-5.5543747,0,하얀 스피온
19,1,1228.0427,288.10733,39.35515,0,하얀 스피온
20,1,1275.5393,374.77182,-467.56473,0,하얀 스피온
21,1,1137.9684,374.77182,-608.7548,0,하얀 스피온
22,1,1232.8875,374.77182,-742.983,0,하얀 스피온
23,1,1496.7126,288.10733,70.41912,0,하얀 스피온
24,1,1794.1357,288.10733,37.488525,0,하얀 스피온
25,1,1853.3312,288.10733,202.7641,0,하얀 스피온
26,1,1368.5558,288.10733,498.39087,0,하얀 스피온
27,1,1153.9956,288.1073,630.5854,0,하얀 스피온
28,1,1345.6952,288.10733,764.6114,0,하얀 스피온
29,1,1069.1906,288.10733,493.3092,0,하얀 스피온
30,1,-279.87653,385.45352,889.46436,0,하얀 스피온
31,1,-530.1851,385.45352,614.6702,0,하얀 스피온
32,1,-240.8613,385.45352,579.67523,0,하얀 스피온
33,1,-595.4054,385.45352,792.26666,0,하얀 스피온
34,1,-853.8063,411.21915,608.6325,0,하얀 스피온
35,1,-1102.5123,411.21915,509.04944,0,하얀 스피온
36,1,-1011.4837,411.1801,304.65503,0,하얀 스피온
37,1,-936.31824,411.21915,520.5209,0,하얀 스피온
38,1,246.08278,370.43066,569.3736,0,하얀 스피온
39,1,756.1297,452.6042,1243.0258,0,하얀 스피온
40,1,558.9581,452.6042,1194.2476,0,하얀 스피온
41,1,564.631,452.6042,1400.6404,0,하얀 스피온
42,1,374.0317,452.6042,1416.7838,0,하얀 스피온
43,1,798.7766,452.6042,1348.4761,0,하얀 스피온
44,2,-433.09998,385.45352,696.9802,0,푸른 크로뉴트 마법사
45,2,-143.09784,385.45352,704.6432,0,푸른 크로뉴트 마법사
46,2,-1060.9886,452.60416,-84.498695,0,푸른 크로뉴트 마법사
47,2,-1163.7908,452.60416,-267.5341,0,푸른 크로뉴트 마법사
48,2,-241.88712,406.43448,-903.97974,0,푸른 크로뉴트 마법사
49,2,334.1558,370.42935,694.67926,0,푸른 크로뉴트 마법사
50,2,-438.88034,406.1362,-845.8564,0,푸른 크로뉴트 마법사
51,2,-436.01126,406.1362,-1070.6176,0,푸른 크로뉴트 마법사
52,2,591.8352,508.6087,-1028.0187,0,푸른 크로뉴트 마법사
53,2,610.75006,508.58298,-850.7415,0,푸른 크로뉴트 마법사
54,2,172.08928,508.6087,-957.37915,0,푸른 크로뉴트 마법사
55,2,298.5136,508.6087,-649.01276,0,푸른 크로뉴트 마법사
56,2,341.12677,508.6087,-1194.1454,0,푸른 크로뉴트 마법사
57,2,568.21436,508.6087,-1224.9303,0,푸른 크로뉴트 마법사
58,2,440.5156,508.6087,-979.91223,0,푸른 크로뉴트 마법사
59,2,1274.0625,288.10733,643.8265,0,푸른 크로뉴트 마법사
60,2,1101.9801,288.10733,603.3318,0,푸른 크로뉴트 마법사
61,3,-377.53204,406.1362,-994.1524,0,붉은 호헨 올벤
62,3,488.13077,508.6087,-1227.6532,0,붉은 호헨 올벤
63,3,462.54614,374.31052,-105.35193,0,붉은 호헨 올벤
64,3,-1304.4493,452.60416,-159.5221,0,붉은 호헨 올벤
65,3,-1125.3257,411.21915,402.71762,0,붉은 호헨 올벤
66,3,1256.261,288.10733,586.77704,0,붉은 호헨 올벤
67,3,1737.7344,288.10733,50.85296,0,붉은 호헨 올벤
68,3,1309.0675,374.77182,-509.97632,0,붉은 호헨 올벤
69,3,-326.68622,385.45352,742.4653,0,붉은 호헨 올벤
70,3,552.9105,508.6087,-919.9584,0,붉은 호헨 올벤
71,3,583.8727,452.6042,1242.1998,0,붉은 호헨 올벤
72,3,445.80084,508.6087,-791.45776,0,붉은 호헨 올벤
73,2,469.79395,374.31052,-122.68047,0,푸른 크로뉴트 마법사
74,2,612.73096,374.31052,-85.41203,0,푸른 크로뉴트 마법사
75,2,1194.1097,374.77182,-649.42834,0,푸른 크로뉴트 마법사
76,2,1240.6555,374.77182,-474.21558,0,푸른 크로뉴트 마법사
77,2,1431.4894,374.77182,-551.18494,0,푸른 크로뉴트 마법사
78,2,1727.3611,288.10733,13.266575,0,푸른 크로뉴트 마법사
79,2,1872.5071,288.10733,169.07669,0,푸른 크로뉴트 마법사
80,2,1948.1299,288.10733,71.98824,0,푸른 크로뉴트 마법사
81,2,-1227.467,411.21915,643.6492,0,푸른 크로뉴트 마법사
82,4,-464.6212,385.45352,883.28564,0,갈색 라프세이프
83,4,-152.33058,385.4322,840.8213,0,갈색 라프세이프
84,4,-391.65552,385.45352,487.31134,0,갈색 라프세이프
85,4,-952.3227,411.21915,650.1161,0,갈색 라프세이프
86,4,-1262.7423,411.21915,469.2611,0,갈색 라프세이프
87,4,-1007.7779,411.21915,460.24487,0,갈색 라프세이프
88,4,-1354.3009,452.60416,-199.3797,0,갈색 라프세이프
89,4,748.1455,374.31052,11.685425,0,갈색 라프세이프
90,4,481.66943,392.66992,879.7446,0,갈색 라프세이프
91,4,-575.42694,406.1362,-843.76575,0,갈색 라프세이프
92,4,306.0595,508.6087,-984.5781,0,갈색 라프세이프
93,4,461.0396,452.58298,1203.4404,0,갈색 라프세이프
94,4,701.0578,452.6042,1393.2432,0,갈색 라프세이프
95,4,713.76697,452.5881,1123.6727,0,갈색 라프세이프
96,4,509.73358,374.31052,74.800125,0,갈색 라프세이프
97,4,588.72174,374.31052,-257.32068,0,갈색 라프세이프
98,4,802.79645,374.25272,-150.37025,0,갈색 라프세이프
100,4,1261.6272,374.77182,-591.67346,0,갈색 라프세이프
101,4,1285.9178,374.77182,-390.35992,0,갈색 라프세이프
102,4,1084.3738,374.7718,-681.6073,0,갈색 라프세이프
103,4,1373.972,374.77182,-682.03296,0,갈색 라프세이프
104,4,1691.488,288.10733,112.14625,0,갈색 라프세이프
105,4,1950.5444,288.10733,94.393524,0,갈색 라프세이프
106,4,1076.872,288.10733,752.31244,0,갈색 라프세이프
107,4,1170.0842,288.10733,546.4217,0,갈색 라프세이프
108,4,1481.9933,288.10733,683.71826,0,갈색 라프세이프
109,4,1356.3036,288.10733,497.93204,0,갈색 라프세이프
110,4,136.3625,508.6087,-903.5231,0,갈색 라프세이프
111,4,489.98734,508.6087,-709.187,0,갈색 라프세이프
112,4,444.65726,508.6087,-1024.9717,0,갈색 라프세이프
113,4,660.3878,508.5728,-972.2683,0,갈색 라프세이프
114,4,458.46054,508.6087,-1252.8601,0,갈색 라프세이프
115,4,285.52283,508.6087,-647.6868,0,갈색 라프세이프
117,6,777.54785,452.2046,2020.5325,93,카듀멜 절벽
118,7,1029.7817,508.60846,-1489.0547,-42,마당 고원
119,8,2131.7407,287.9069,222.47662,9,대지의 요새 전초구역
120,9,-272.5474,406.1369,-74.31588,-45,여신 바카리네의 상
121,10,332.5293,508.6087,-727.2649,0,나무뿌리 수정
122,10,855.6962,508.60846,-1332.7231,0,나무뿌리 수정
123,10,524.2589,508.6087,-1335.8502,0,나무뿌리 수정
124,10,357.94754,508.6087,-1026.2959,0,나무뿌리 수정
125,10,65.89781,508.60663,-909.681,0,나무뿌리 수정
126,10,-347.52106,406.1362,-1197.0417,0,나무뿌리 수정
127,10,-623.2847,406.1362,-925.9766,0,나무뿌리 수정
128,10,-382.5983,406.1362,-728.17456,0,나무뿌리 수정
129,10,-412.7118,406.1369,-295.98242,0,나무뿌리 수정
130,10,-155.74634,406.1369,-107.48484,0,나무뿌리 수정
131,10,-613.79846,406.1369,-118.07841,0,나무뿌리 수정
132,10,-305.31027,406.1369,192.38647,0,나무뿌리 수정
133,10,245.95195,374.31052,-101.01004,0,나무뿌리 수정
134,10,816.80237,374.31052,44.33095,0,나무뿌리 수정
135,10,563.2599,374.31052,-162.65343,0,나무뿌리 수정
136,10,1319.9851,288.10733,42.958992,0,나무뿌리 수정
137,10,1196.4144,374.77182,-697.55505,0,나무뿌리 수정
138,10,1310.6428,374.77182,-409.41043,0,나무뿌리 수정
140,10,1220.4073,288.10733,456.89755,0,나무뿌리 수정
142,10,1385.5928,288.10733,697.0825,0,나무뿌리 수정
143,10,1651.7994,288.10736,100.65941,0,나무뿌리 수정
144,10,2005.1085,288.10733,97.36395,0,나무뿌리 수정
145,10,-885.356,452.60416,-196.17033,0,나무뿌리 수정
146,10,-1341.2207,452.60416,-107.13124,0,나무뿌리 수정
147,10,-1105.6099,452.60416,-352.4231,0,나무뿌리 수정
148,10,-1182.1622,411.21915,442.06976,0,나무뿌리 수정
150,10,-847.8208,411.21915,481.3269,0,나무뿌리 수정
151,10,-596.5293,385.45352,738.3229,0,나무뿌리 수정
152,10,-343.41995,385.45352,556.8713,0,나무뿌리 수정
153,10,-108.64162,385.41724,786.3369,0,나무뿌리 수정
154,10,228.2933,370.43082,570.8791,0,나무뿌리 수정
155,10,535.65295,424.457,939.5543,0,나무뿌리 수정
156,10,461.1746,452.6042,1309.7083,0,나무뿌리 수정
