ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,Name
3,3,359.64587,0.0002708435,67.58885,0,0,청아한 로프틀렘
32,4,17,-1,-1133,270,0,압시메스티 교차로
33,5,1166.146,83.5826,-285.1666,4,0,대성당 대회랑
34,6,82.87282,0,-1004.5957,-115,0,주교 아우렐리우스의 영혼
35,7,61.8795,0,-740.8611,0,0,영혼의 정수
36,7,368.0624,0.0002706635,-766.29767,0,0,영혼의 정수
38,7,-53.599598,0.0002708435,-468.62503,0,0,영혼의 정수
40,7,-242.62622,0.0002708435,-836.4297,0,0,영혼의 정수
42,7,360.42453,0.0002708435,-477.79303,0,0,영혼의 정수
44,9,-769.1999,0,223.00159,-46,0,예언의 경전
45,28,-662.3479,0,-53.834373,60,0,대지의 경전
46,29,-995.4547,0,21.417728,1,0,안식의 경전
47,30,-572.8502,0,-326.47015,-46,0,영원의 경전
48,31,-913.9128,0,-359.43335,-83,0,정화의 경전
49,32,-456.1964,0,174.36253,-100,0,찬미의 경전
51,10,-546.3629,0,-49.55093,-1,0,안정의 제단
53,12,-2363.9421,29.521385,-51.858345,-43,0,메밀레 경당 단상
54,13,-1986.4393,0,-171.95828,-41,0,UnvisibleName
55,14,-2120.4294,0,-171.27988,-46,0,UnvisibleName
56,15,-2042.0631,0,67.65801,-36,0,UnvisibleName
57,16,-2183.3904,0,72.93077,-40,0,UnvisibleName
58,17,212.48248,0.0003,-128.79163,56,0,사제 이네아
59,18,813.6576,0.0003,-487.37524,58,0,사제 베네딕트
60,19,106.28041,0.0003,-109.51577,38,0,사제 아덴
62,21,862.73975,0.0003,-1444.7771,-2,0,낡은 제단
63,22,863.639,0.0003,-1351.7119,-2,0,낡은 제단
64,24,-8.044773,0.0003,-868.9194,0,0,나무뿌리 수정
65,24,-121.26051,0,-626.1921,0,0,나무뿌리 수정
66,24,-358.24295,0,-334.3209,0,0,나무뿌리 수정
67,24,-583.50525,0,-126.38942,0,0,나무뿌리 수정
68,24,-883.4436,0,-307.95367,0,0,나무뿌리 수정
69,24,-928.25323,0,178.62646,0,0,나무뿌리 수정
70,24,-1055.4783,0,-41.763878,0,0,나무뿌리 수정
71,24,-1383.6198,0,-72.72446,0,0,나무뿌리 수정
72,24,-1426.6116,0,-260.12433,0,0,나무뿌리 수정
73,24,-1441.9531,0,226.6972,0,0,나무뿌리 수정
74,24,-1736.5172,0,37.116783,0,0,나무뿌리 수정
75,24,-1738.3351,0,-322.87888,0,0,나무뿌리 수정
76,24,-1983.71,0,66.15611,0,0,나무뿌리 수정
77,24,-320.33395,0,345.16797,0,0,나무뿌리 수정
78,24,82.060394,0,120.97569,0,0,나무뿌리 수정
79,24,360.7935,0,55.700294,0,0,나무뿌리 수정
80,24,16.272102,0,699.2527,0,0,나무뿌리 수정
81,24,309.31845,0,820.5166,0,0,나무뿌리 수정
