ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-1431.7407,241.5855,-373.7156,0,벨피기
2,1,-1197.2213,241.5857,-313.84442,0,벨피기
3,1,-1091.212,241.5857,-407.8043,0,벨피기
4,1,-1112.5913,241.5857,-192.30505,0,벨피기
5,1,-1115.5388,287.4443,-945.24146,0,벨피기
6,1,-1057.9738,287.44434,-1090.5011,0,벨피기
7,1,-990.09436,287.4443,-895.50183,0,벨피기
8,1,-1021.4375,241.5857,-338.55508,0,벨피기
9,5,-80.08702,142.3791,-553.59406,0,글리퀘어
10,5,-373.66934,142.3791,-218.03583,0,글리퀘어
11,5,315.68256,142.3791,-289.18484,-94,글리퀘어
12,5,-95.69986,152.35178,310.03525,0,글리퀘어
13,6,-263.38623,142.55344,-1387.753,0,검은 콜리플라이
14,6,52.117355,142.5534,-1500.4506,0,검은 콜리플라이
15,6,-168.8102,142.5534,-1681.4636,0,검은 콜리플라이
16,6,18.422592,142.5534,-1726.5286,0,검은 콜리플라이
17,6,130.38107,142.55338,-1365.9937,0,검은 콜리플라이
18,6,-68.30894,142.5534,-1553.6849,0,검은 콜리플라이
19,5,-264.2704,142.5534,-1636.0778,0,글리퀘어
20,5,-1156.2947,241.5857,-96.71889,0,글리퀘어
21,5,-1298.8236,241.5857,-380.68005,0,글리퀘어
22,5,-988.7201,241.5857,-387.66208,89,글리퀘어
23,5,-1830.5225,241.5857,-789.5636,166,글리퀘어
24,5,-1930.1912,241.5857,-761.11536,0,글리퀘어
25,5,-1761.5911,253.2651,-1094.6093,-178,글리퀘어
26,5,-877.9078,333.5295,414.11636,0,글리퀘어
27,5,-1127.7201,333.5295,391.1861,0,글리퀘어
28,5,13.712185,147.09964,391.22717,171,글리퀘어
29,5,72.148125,152.3518,442.92538,176,글리퀘어
30,5,-111.06657,139.9455,420.84894,0,글리퀘어
31,7,844.94836,241.7388,-217.33931,-47,글리퀘어
32,7,807.63824,241.7388,-398.38376,86,글리퀘어
33,7,1096.9713,241.7388,-388.40448,0,글리퀘어
34,7,1125.8456,241.73875,-507.1603,109,글리퀘어
35,7,1057.9904,312.25317,287.36832,-126,글리퀘어
36,7,984.0198,327.6545,363.48492,-32,글리퀘어
37,7,1022.7634,287.9011,-1164.3113,104,글리퀘어
38,7,956.7792,246.14781,-522.06903,0,글리퀘어
39,6,-203.87325,152.35178,457.9995,0,검은 콜리플라이
40,6,-89.41062,152.3518,622.4146,0,검은 콜리플라이
41,6,5.5711203,152.35178,321.3824,0,검은 콜리플라이
42,6,148.11084,152.35178,535.3407,0,검은 콜리플라이
43,1,-25.553566,142.3791,-329.86768,0,벨피기
44,1,-20.450117,142.3791,-103.81765,0,벨피기
45,1,95.64402,142.3791,-365.05377,0,벨피기
46,6,-152.46857,142.3791,-306.94495,0,검은 콜리플라이
47,6,-102.33487,142.3791,-489.62552,0,검은 콜리플라이
48,6,135.1023,142.3791,-198.69759,0,검은 콜리플라이
49,8,-1891.5038,267.6633,-1702.7491,-90,
50,9,-31,143,-1505,86,
51,10,-1012.631,333.5295,664.6173,0,푸른색 마력 수정
52,11,-1005.3524,333.5295,569.2304,0,붉은색 마력 수정
53,12,-906.0661,333.5295,644.5948,0,노란색 마력 수정
54,13,-915.99506,333.5295,573.0324,0,흰색 마력 수정
55,14,-875.2702,333.5295,680.19666,0,초록색 마력 수정
56,14,-925.9638,333.5295,424.66965,0,초록색 마력 수정
57,15,-1293,380,683,0,
58,16,984,289,-975,0,
59,17,-2074,180,1347,0,
60,18,1695,180,-1557,0,
61,10,-1072.7903,241.5857,-309.19778,0,푸른색 마력 수정
62,10,-1056.6254,287.4443,-993.47156,0,푸른색 마력 수정
63,10,-40.25824,142.3791,-292.2879,0,푸른색 마력 수정
64,10,-57.938942,139.9455,507.53284,0,푸른색 마력 수정
65,10,737.2407,332.6149,843.76746,0,푸른색 마력 수정
66,10,1048.8757,241.7388,-327.2196,0,푸른색 마력 수정
67,10,979.13165,287.9011,-960.30054,0,푸른색 마력 수정
68,10,-19.130009,142.5534,-1491.8821,0,푸른색 마력 수정
69,10,-1848.5808,241.5857,-1009.1371,0,푸른색 마력 수정
70,12,-1831.4535,241.5857,-1013.6485,0,노란색 마력 수정
71,12,-1073.9003,241.5857,-321.4914,0,노란색 마력 수정
72,12,-25.649597,142.3791,-283.2552,0,노란색 마력 수정
73,12,1052.5945,241.7388,-319.44174,0,노란색 마력 수정
74,11,-1056.4207,241.5857,-287.19565,0,붉은색 마력 수정
75,11,-1882.2073,241.5857,-1012.758,0,붉은색 마력 수정
76,11,6.759445,142.3791,-313.87262,0,붉은색 마력 수정
77,11,1043.2379,241.7388,-326.20966,0,붉은색 마력 수정
78,11,-4.409672,139.9455,460.06082,0,붉은색 마력 수정
79,11,-84.133865,142.5534,-1530.3517,0,붉은색 마력 수정
80,11,993.46387,287.9011,-1007.6141,0,붉은색 마력 수정
81,11,735.86475,332.6149,770.3753,0,붉은색 마력 수정
82,19,-79.70574,147.0017,68.962585,0,
83,20,-45.631725,147.0017,67.06168,0,
84,21,-1873.3639,241.5857,-1277.4486,0,
85,21,-1889.3011,241.5857,-892.6113,0,
86,21,-1826.2543,241.5857,-795.57007,0,
87,21,-1173.814,241.5857,-400.23428,0,
88,21,-1074.9613,241.5857,-210.37291,0,
89,21,-1052.0419,287.4443,-948.4551,0,
90,21,-197.9282,142.3791,-262.7729,0,
91,21,76.11663,142.3791,-293.13577,0,
92,21,-205.86508,142.5534,-1448.1238,0,
93,21,131.23276,142.5534,-1497.5342,0,
94,21,934.8721,287.9011,-1043.5072,0,
95,21,1015.1567,241.7388,-250.05276,0,
96,21,741.6699,332.6149,474.57523,0,
97,21,702.38586,332.6149,783.4421,0,
98,21,-144.94037,152.3518,435.41196,0,
99,21,-981.8545,333.5295,744.6742,0,
100,21,-1099.5612,333.5295,540.6172,0,
101,21,-2019.2324,198.9514,1533.5815,0,
