ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
101,101,-1662,168,-1176,180,20101,0,샤울레이 광산 마을
102,102,640,267,1489,90,20101,0,겔리 고원
104,104,-352,168,-564,0,20016,-45,팔라딘 마스터 추종자
111,111,-1399.7583,276.3425,-44.12083,0,47491,0,판토
117,117,-1385.33,276.34,683.5,0,47202,0,풀더미
118,117,-1227.54,276.34,118.29,0,47202,0,풀더미
119,117,-1200.75,276.34,512.95,0,47202,0,풀더미
120,117,-1501.95,276.34,399.63,0,47202,0,풀더미
121,117,-1506.592,276.3425,76.214905,0,47202,0,풀더미
130,117,-1192.1938,276.3425,-129.76683,0,47202,0,풀더미
131,117,-1480.8098,276.3425,-180.43533,0,47202,0,풀더미
132,117,-1392.7764,276.3425,130.34674,0,47202,0,풀더미
133,117,-1538.0452,276.3425,-71.390366,0,47202,0,풀더미
144,111,-1411.7942,276.3425,522.7712,0,0,0,
152,126,639.3038,168.8233,-546.13257,0,0,0,
154,128,-218.40988,287.4646,-1569.1755,0,0,0,
161,129,-1354.86,276.34,29.04,0,0,0,
164,133,-132.3,168.82,-571.54,-99,0,0,
165,134,-1185.13,168.82,-898.58,0,0,0,
166,134,-1223.42,224.73,-536.13,0,0,0,
167,134,-1308.3,276.34,-20.84,0,0,0,
168,134,-1380.32,276.34,523.34,0,0,0,
169,134,-437.83,168.82,-702.27,0,0,0,
170,134,-150.24,168.82,-946.61,0,0,0,
171,134,-207.17,287.46,-1519.87,0,0,0,
172,134,581.2,368.01,-1461.42,0,0,0,
173,134,509.18,168.82,-534.3,0,0,0,
174,134,-24.11,168.82,-629.78,0,0,0,
175,134,197.05,95.99,447.53,0,0,0,
176,134,766.68,95.99,478.56,0,0,0,
177,134,1320.63,166.81,782.03,0,0,0,
178,134,1510.2,166.81,431.15,0,0,0,
179,134,1795.64,166.81,94.29,0,0,0,
180,134,741.62,267.47,1134.57,0,0,0,
181,135,-397.64,168.82,-641.99,0,0,0,
182,135,-99.122505,168.8233,-619.7493,0,0,0,
183,135,-355.81,168.82,-840.64,0,0,0,
184,135,-175.39,168.82,-841,0,0,0,
195,137,-401,168,-642,-16,0,0,
197,138,-257.99,95.99,283.71,33,0,0,
198,136,607.16,95.99,528.5,0,0,0,
199,136,757.72,95.99,568.46,0,0,0,
200,136,832.19,95.99,389.37,0,0,0,
201,136,779.14,95.99,312.72,0,0,0,
