ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
1,1,-1549,602,-1884,170,40001,10,WarpSpot
2,2,2575,489,1060,77,40001,10,WarpSpot
700,514,-242,489,-1817,0,11120,30,부베 약탈자
701,514,-431,489,-1927,0,11120,30,부베 약탈자
702,514,-403,489,-2133,0,11120,30,부베 약탈자
703,514,-200,489,-2212,0,11120,30,부베 약탈자
704,514,-6,489,-2023,0,11120,30,부베 약탈자
705,514,-218,489,-2043,0,11120,30,부베 약탈자
706,514,-249,489,-1113,0,11120,30,부베 약탈자
707,514,-384,489,-1019,0,11120,30,부베 약탈자
708,514,-193,489,-860,0,11120,30,부베 약탈자
709,514,-321,489,-796,0,11120,30,부베 약탈자
710,514,-898,558,-511,0,11120,30,부베 약탈자
711,514,-1105,583,-372,0,11120,30,부베 약탈자
712,514,-1363,583,203,0,11120,30,부베 약탈자
713,514,-1427,583,255,0,11120,30,부베 약탈자
714,514,-886,518,1130,0,11120,30,부베 약탈자
715,514,-931,518,960,0,11120,30,부베 약탈자
716,514,-683.27295,518.0104,867.7399,0,11120,30,부베 약탈자
717,514,-251,559,381,0,11120,30,부베 약탈자
718,514,-278,559,220,0,11120,30,부베 약탈자
719,514,-22,558,18,0,11120,30,부베 약탈자
720,514,141.54984,559.10645,169.76071,0,11120,30,부베 약탈자
721,514,710,491,-909,0,11120,30,부베 약탈자
722,514,1679,433,-1271,0,11120,30,부베 약탈자
723,514,1798,433,-1362,0,11120,30,부베 약탈자
724,514,1656,433,-1459,0,11120,30,부베 약탈자
725,514,2778,489,-1306,0,11120,30,부베 약탈자
726,514,2650,489,-1213,0,11120,30,부베 약탈자
727,514,2640,489,-1309,0,11120,30,부베 약탈자
728,514,2637,489,-1070,0,11120,30,부베 약탈자
729,514,2046,602,-173,0,11120,30,부베 약탈자
730,514,2213,489,-445,0,11120,30,부베 약탈자
731,514,2623,488,656,0,11120,30,부베 약탈자
732,514,2851,488,605,0,11120,30,부베 약탈자
733,514,2848,488,408,0,11120,30,부베 약탈자
734,514,2577.1274,485.603,411.0153,0,11120,30,부베 약탈자
735,514,2856,489,-1189,0,11120,30,부베 약탈자
736,514,1055,414,-1074,0,11120,30,부베 약탈자
737,514,5,489,-967,0,11120,30,부베 약탈자
738,514,-1291,602,-1825,0,11120,30,부베 약탈자
739,514,-1214,583,-298,0,11120,30,부베 약탈자
740,514,-160,558,-27,0,11120,30,부베 약탈자
741,514,1572,433,-1317,0,11120,30,부베 약탈자
742,514,636,491,-930,0,11120,30,부베 약탈자
743,514,-773,518,1022,0,11120,30,부베 약탈자
1506,301,-979,490,-1948,0,400721,30,던볼
1797,821,-240.86589,489.04877,-560.1803,0,0,0,그롤
1834,839,2529.13,489.05,-1249.79,-14,0,0,
1835,840,2528.41,488.94,738.83,-14,0,0,
1842,841,-1078.92,583.26,-383.52,-14,0,0,
1843,842,-1026.8577,581.7938,-469.76624,0,0,0,메로그 주술사
1844,843,42.253654,489.1648,-901.32635,0,0,0,누덕고치
1845,844,3049,491,-816,90,0,0,은둔자의 통로
