ClassID,GenType,PosX,PosY,PosZ,Direction,AnchorRange,Name
3,3,1478,225,343,1,1,
4,4,303,147,-1135,270,0,
5,5,-282,225,1041,90,0,
6,6,-435.1169,148.2241,-1247.0604,1,0,
29,9,-227.36,148.22,-960.28,-90,0,
30,10,-260.58,148.22,-979.75,-30,0,
31,11,1370,149,-695,-60,0,
35,12,351.82,188.56,32.09,0,0,
36,12,108.03223,188.559,56.712753,0,0,
37,12,19.904776,188.559,-153.51178,0,0,
38,12,588.3405,188.559,-214.4943,0,0,
39,12,286.48996,188.559,-414.2645,0,0,
40,12,991.855,188.559,-351.3919,0,0,
41,13,1172.8127,121.3709,2575.2722,90,0,
42,14,1074.29,224.98,482.62,-45,0,
43,15,1343.83,224.98,388.26,-90,0,
44,16,1093.22,224.98,791.72,1,0,
46,18,507.69,148.22,-684.62,0,0,
47,18,24.27,148.22,-950.84,0,0,
48,18,276.21,148.22,-750.16,0,0,
49,18,347.26,188.56,-398.46,0,0,
50,18,295,148.22,-1026.14,0,0,
51,18,764.5,148.22,-720.29,0,0,
52,19,1137.6111,121.3709,2579.1096,45,0,
53,19,1105.3728,121.3709,2578.7397,90,0,
54,19,1165.2826,121.3709,2611.7158,10,0,
57,20,1416.844,148.2241,-573.26324,-75,0,
58,20,1385.8616,148.2241,-635.29193,-60,0,
59,20,1424.0892,148.2241,-645.3268,-30,0,
60,20,1405.5239,148.2241,-670.5164,-90,0,
61,20,1431.8517,148.2241,-717.307,-45,0,
62,20,1438.7251,148.22406,-754.6938,15,0,
63,20,1434.1112,148.22401,-794.05634,-30,0,
64,20,1416.7266,148.22403,-762.2665,0,0,
32,21,439.17435,224.9785,199.01242,0,0,주황 그리바루
66,2,-555.3397,148.2241,-1059.3534,180,0,
67,25,-356.04013,224.9785,360.16257,0,0,샤울렘 라군
68,25,1271.3251,121.3709,1906.8903,0,0,샤울렘 라군
69,25,-298.77985,224.9785,152.21057,0,0,샤울렘 라군
73,25,1162.191,121.3709,1752.8638,0,0,샤울렘 라군
74,25,1009.3013,121.3709,1545.2645,0,0,샤울렘 라군
75,25,-269.5324,224.9785,907.2461,0,0,샤울렘 라군
76,25,-145.0773,224.9785,773.13385,0,0,샤울렘 라군
77,25,-360.79507,224.9785,755.45776,0,0,샤울렘 라군
80,25,1207.8118,121.3709,1609.8082,0,0,샤울렘 라군
81,25,-548.6508,224.9785,292.72073,0,0,샤울렘 라군
84,27,428.13293,224.9785,233.34436,0,0,샤울로우거
98,28,301.63617,148.2241,-748.5998,0,0,레비
99,8,276.90982,188.559,2.2976265,0,0,주황 그리바루
100,8,456.9365,188.559,-89.653275,0,0,주황 그리바루
101,8,196.51338,188.559,-92.70337,0,0,주황 그리바루
102,8,216.2296,188.559,-239.69543,0,0,주황 그리바루
103,8,353.6979,188.559,-342.46518,0,0,주황 그리바루
104,8,473.03424,188.559,-261.55124,0,0,주황 그리바루
105,8,363.7529,188.559,-158.18048,0,0,주황 그리바루
