ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-2462,44,-2202,-143,
2,2,2037,246,2357,25,
3,3,2209,44,-586,0,
4,4,-838,143,-1050,0,
5,5,-943,154,947,0,
6,6,461,136,-107,0,
7,7,-993.22205,154.5892,797.5809,0,트리피드
8,8,95.46165,136.9916,54.307987,0,붉은 론도
9,9,1569.9491,137.64296,620.31085,0,붉은 루바보스
10,10,-1135,154,1471,90,
23,11,-929.8583,143.3831,-1038.2302,0,붉은 론도
38,12,-843.3396,143.3831,-1286.591,0,
39,13,-2224.717,44.5155,-1564.5778,126,
40,14,-253.72215,136.9916,-144.19073,126,
41,15,-1742.0068,195.31224,141.47241,126,
42,16,224.80127,44.515564,1481.5562,126,
43,17,1766.774,44.51493,-931.3403,126,
44,18,1870.2974,137.64296,967.2059,126,
45,19,1500.4852,246.81575,1817.7728,126,
46,20,-923.9958,143.3831,-1081.3728,0,
47,20,-1025.2979,154.5892,831.3281,0,
48,20,1179.419,44.5152,-351.31213,0,
49,20,1055.3466,137.64311,735.7617,0,
51,21,-1847.1342,44.5154,-1463.0636,0,
52,21,-1828.3177,44.5154,-1669.8392,0,
53,21,-2009.5706,44.51548,-1980.1213,0,
54,21,-1838.2844,44.5154,-1850.5671,0,
55,21,-2336.3447,44.515415,-1913.0209,0,
56,21,-1706.9373,44.515457,-1699.4551,0,
57,22,1535.7891,44.514957,-954.6764,0,
58,22,1433.9528,44.515232,-709.1955,0,
59,22,1727.2717,44.515007,-630.30273,0,
60,22,1330.1917,44.5152,-405.48352,0,
61,22,2023.1239,44.514946,-696.0901,0,
62,22,1035.7281,44.515182,-770.83374,0,
63,23,-81.73174,136.9916,-353.93387,0,흩어진 나무뿌리 수정 핵
64,23,150.66302,136.9916,-459.1197,0,흩어진 나무뿌리 수정 핵
65,23,392.18652,136.9916,-388.74722,0,흩어진 나무뿌리 수정 핵
66,23,142.34164,136.9916,-142.55185,0,흩어진 나무뿌리 수정 핵
67,23,40.967354,136.9916,134.16083,0,흩어진 나무뿌리 수정 핵
68,23,526.1345,136.9916,-31.353481,0,흩어진 나무뿌리 수정 핵
69,23,-534.3976,143.3831,-1107.3347,0,흩어진 나무뿌리 수정 핵
70,23,-732.2151,143.3831,-1343.1632,0,흩어진 나무뿌리 수정 핵
71,23,-1085.7466,143.3831,-1330.1377,0,흩어진 나무뿌리 수정 핵
72,23,-1110.0631,143.3831,-955.3534,0,흩어진 나무뿌리 수정 핵
74,23,-913.0569,143.3831,-1482.1694,0,흩어진 나무뿌리 수정 핵
76,25,1670.9812,137.64307,884.8746,126,
77,25,1469.4468,137.64308,1050.6643,126,
78,25,1220.5781,137.64311,835.54,126,
79,25,1406.348,137.64302,414.60623,126,
80,25,1637.9434,137.643,220.90611,126,
81,25,1829.4058,95.77102,31.433455,126,
82,25,1376.1396,168.29448,1235.7819,126,
83,25,1194.9421,137.64314,975.91003,126,
84,25,1924.4492,137.64299,495.58353,126,
85,26,-1489.3418,154.5892,1074.9248,-4,
86,27,875.9008,67.85833,-371.41324,0,
87,29,1516.2385,137.64297,655.0313,0,
90,28,-910.30255,154.58919,918.705,0,
91,30,1342.4092,44.515194,-181.14133,126,
92,31,1370.7452,44.515182,-161.38255,0,
93,32,-1692.0487,195.31697,119.21667,0,
94,33,1098.7245,44.5152,-414.5932,0,트리피드
95,33,1329.4608,44.51525,-714.93243,0,트리피드
96,33,1670.6207,44.515015,-711.87634,0,트리피드
97,33,1682.8044,44.515022,-456.61493,0,트리피드
98,33,1496.3296,44.51515,-246.45357,0,트리피드
101,7,-1335.8525,154.58922,819.8556,0,트리피드
102,7,-1297.5165,154.58922,1080.1176,0,트리피드
103,7,-1309.4578,154.5892,1277.4132,0,트리피드
104,7,-965.37164,154.58922,1068.7114,0,트리피드
105,35,-2483.3345,44.52919,-2201.0947,0,
106,36,2037.5901,246.81526,2344.6882,0,
107,38,2208.1128,44.515,-563.76,0,
108,7,-906.7752,154.58913,643.5886,0,트리피드
109,7,-725.96954,154.5891,684.9749,0,트리피드
110,7,-663.1742,154.5892,991.91956,0,트리피드
111,7,-803.4108,154.5892,1261.2639,0,트리피드
112,11,-1136.2964,143.3831,-1135.5636,0,붉은 론도
113,11,-1184.5596,143.3831,-1333.0535,0,붉은 론도
114,11,-904.50073,143.3831,-1387.0244,0,붉은 론도
115,11,-880.82715,143.38312,-1209.2832,0,붉은 론도
116,11,-689.5831,143.3831,-1323.8121,0,붉은 론도
117,11,-704.29034,143.3831,-1103.3995,0,붉은 론도
118,11,-518.8737,143.3831,-1162.603,0,붉은 론도
119,11,-793.6922,143.3831,-866.6572,0,붉은 론도
120,11,-1159.8259,143.3831,-857.16046,0,붉은 론도
121,33,1151.6249,44.5153,-787.6283,0,트리피드
122,33,1512.2545,44.51507,-871.05853,0,트리피드
123,33,1798.9474,44.51496,-909.0548,0,트리피드
124,33,1852.7048,44.515083,-336.70892,0,트리피드
125,33,1887.0197,44.515068,-650.04504,0,트리피드
126,33,1453.9553,44.51514,-523.38,0,트리피드
127,33,-2235.0815,44.5155,-1915.6633,0,트리피드
128,33,-2140.692,44.515404,-1705.1604,0,트리피드
129,33,-1886.4703,44.515415,-1985.5103,0,트리피드
130,33,-2030.659,44.515465,-1907.7614,0,트리피드
131,33,-1896.2408,44.5154,-1793.3551,0,트리피드
132,33,-2001.7737,44.5154,-1580.7423,0,트리피드
133,33,-1783.7708,44.515415,-1655.4078,0,트리피드
134,33,-1718.4299,44.51544,-1852.5532,0,트리피드
135,33,-1596.7614,44.5154,-1641.3052,0,트리피드
136,39,1361.2301,97.551285,-1354.4937,-47,
137,23,-809.6678,143.3831,-1053.415,0,흩어진 나무뿌리 수정 핵
138,40,221.46,137.09,219.43,0,
139,37,1360.9434,97.61616,-1354.1084,0,
140,41,-460.85715,151.05492,988.10046,0,
