ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,2,-748.49286,370.01605,425.45947,45,연구원 에이다스
2,3,518.05505,370.01602,370.62546,0,마을 청년B2
3,4,-205.93924,106.96188,-152.67256,-90,순례자(여)_02
4,5,-698.0918,370.01602,1156.1213,0,잎이 넓은 덤불_블루
5,5,-626.24896,370.01602,1006.8071,0,잎이 넓은 덤불_블루
6,5,-448.9217,370.01602,1045.9774,0,잎이 넓은 덤불_블루
7,5,-377.6338,370.01602,1171.4766,0,잎이 넓은 덤불_블루
8,5,-557.40326,370.01602,1340.3868,0,잎이 넓은 덤불_블루
9,5,-540.25385,370.01602,1166.8665,0,잎이 넓은 덤불_블루
10,5,-677.3701,370.01602,1307.3463,0,잎이 넓은 덤불_블루
11,6,-296.57153,318.8084,215.17543,0,연금술 테이블2
12,7,-244.23117,318.8084,266.3558,-90,연금술 테이블2
13,8,-270.2663,318.8084,237.98358,-45,연금술 테이블1
14,9,1413.3319,370.01602,478.78348,-45,연금술 테이블1
15,10,1179.4602,370.01602,479.561,90,연금술 테이블1
16,10,1187.6688,370.01602,772.731,-45,연금술 테이블1
17,11,1350.045,370.01602,806.90625,0,작업대
18,11,1228.5491,370.01602,502.53967,0,작업대
19,12,1445.2435,370.01602,519.0366,70,작은 나무 궤짝
20,13,1297.203,370.01602,626.60815,0,완전한 마법진
21,14,1297.203,370.01602,626.60815,0,UnvisibleName
22,15,680,351.87515,340,20,바르하 숲 덩굴
23,16,1498.3268,157.05215,-111.48059,0,연금술 테이블1
24,16,1783.9625,157.05215,-109.40687,0,연금술 테이블1
25,17,1650.8086,157.05215,-84.16139,0,작업대
26,17,1743.3274,157.05223,-444.1738,0,작업대
27,18,1750.1017,157.05215,-116.06988,0,바닥에 떨어진 종이
28,18,1756.9996,157.0522,-402.58752,0,바닥에 떨어진 종이
29,19,1493.8884,157.05215,-151.12599,0,바닥에 떨어진 종이
30,16,1490.461,157.05215,-266.9855,0,연금술 테이블1
31,20,-814.3433,106.96182,-142.57285,0,그림자없는 NPC
32,20,-760.91797,106.96182,-432.2854,0,그림자없는 NPC
33,20,-958.3124,106.96182,-282.81638,0,그림자없는 NPC
34,20,-1175.6561,106.96182,-405.06802,0,그림자없는 NPC
35,20,-1198.9166,106.96182,-152.63063,0,그림자없는 NPC
36,20,-1043.7335,106.96182,-57.439262,0,그림자없는 NPC
37,21,-1500,170.07858,-398,90,UnvisibleName
38,22,-453.0288,106.96182,-463.2441,0,마을 청년B3
39,23,1095.7277,107.496,-312.8747,0,UnvisibleName
40,24,224.8823,107.41617,-648.5502,180,연금술 테이블1
41,24,474.3142,107.41617,-818.48157,90,연금술 테이블1
42,24,593.02344,107.41617,-555.2411,0,연금술 테이블1
43,25,453.4177,107.41617,-526.1171,0,작업대
44,25,313.21964,107.41617,-830.0553,0,작업대
45,26,58.223755,370.01602,566.0202,0,붉은 빅 그리바
46,27,1103.9999,107.496,-281.1216,0,초록 라플레시아
47,24,285.04285,107.41617,-510.49133,-20,UnvisibleName
48,24,536.064,107.41617,-488.0552,-55,UnvisibleName
49,25,385.42206,107.41617,-654.8951,0,UnvisibleName
