ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,-544.71405,3.8781,-1603.6779,-89,
2,2,-3659.4133,52.0789,1659.1157,178,
3,3,-550.6834,3.633246,-1423.7885,0,
4,3,-484.28986,3.0109,-1088.6875,0,
5,3,-773.70715,3.0109,-992.41907,0,
6,3,-1002.7051,55.345737,-1137.3541,0,
7,3,-1443.0801,60.1406,-1248.5543,0,
8,3,-671.2426,2.248243,-816.45996,0,
9,3,-756.5719,7.788397,-306.31873,0,
10,3,-1176.9601,85.25641,-434.42566,0,
11,3,-1406.7146,132.61156,-511.58398,0,
12,3,-1708.9005,143.907,-476.8744,0,
13,3,-2020.4995,143.907,-466.1067,0,
14,3,-42.98626,45.0738,-497.27795,0,
15,3,433.8116,45.0738,-545.14526,0,
16,3,236.18689,80.3744,-989.9939,0,
17,3,145.25284,80.3744,-1310.9121,0,
18,3,569.9773,80.3744,-1434.015,0,
19,3,-581.63,7.0225816,-627.5182,0,
20,3,-1167.0414,62.9642,209.4558,0,
21,3,-1449.8876,62.96425,490.21643,0,
22,3,-1327.5361,59.9815,1146.6765,0,
23,3,-1702.6774,59.9815,1401.8494,0,
24,3,-2258.0437,60.877163,1321.0035,0,
25,3,-2732.7544,53.2314,1541.9141,0,
26,3,-2718.615,52.3033,1971.222,0,
27,3,-745.1338,7.2529,470.1064,0,
28,3,-368.0549,57.3941,186.3439,0,
29,3,104.20036,57.3941,37.70671,0,
30,3,509.46494,92.1332,134.19461,0,
31,3,770.3299,92.1332,-147.69865,0,
32,3,881.35785,92.1332,409.91873,0,
33,3,1223.0547,92.1332,-15.50415,0,
34,3,1613.1216,61.071457,109.75835,0,
35,3,2057.45,76.9916,26.409012,0,
36,3,2438.3293,76.9916,-162.22005,0,
37,3,750.1806,71.598434,815.026,0,
38,3,910.67566,95.4642,1120.0337,0,
39,3,479.20892,95.4642,1207.2494,0,
40,4,-859.74774,7.1051,-589.92017,0,
41,5,-751.5617,7.2529,666.57166,-110,
42,6,-907.4705,7.1051,-593.94775,0,
44,8,-2135.8003,143.907,-460.54572,0,
47,9,397.62952,92.1332,-143.14915,0,
48,9,547.98926,92.1332,207.62769,-61,
49,9,670.31885,92.1332,-178.40839,79,
50,9,1070.1337,92.1332,-109.94835,-32,
51,9,1103.9065,92.1332,218.79642,66,
54,11,-1595.9873,62.9642,468.8334,-42,
55,12,-1595.9873,62.9642,468.8334,0,
56,13,382.98,95.46,1175.22,0,
57,14,-1750.3217,60.1406,-1014.6528,-78,
58,15,-1750.3217,60.1406,-1014.6528,-78,
62,17,-1803.538,59.9815,1361.2626,0,
63,17,-1386.8944,59.9815,1345.7344,0,
64,17,-1353.1866,59.9815,1059.2877,0,
65,17,-1100.4753,59.9815,1489.7635,0,
66,17,-1341.717,36.345497,815.8755,0,
67,17,-1498.9941,62.96425,503.2154,0,
68,17,-1180.3019,62.9642,431.48813,0,
69,17,-2326.049,55.151833,1458.7076,0,
70,17,-2640.1865,53.2314,1279.1989,0,
71,18,-1292.5939,59.9815,1590.0697,0,
72,19,-1935.0314,143.907,-576.5055,0,
73,19,-1698.0435,143.907,-532.55817,0,
74,19,-1795.5525,143.907,-342.25763,0,
75,19,-1606.2207,59.9815,1337.8214,0,
76,19,-1292.2257,59.9815,1200.4517,0,
77,19,-1188.5566,59.9815,1412.3699,0,
78,19,-1588.6046,62.964268,185.72934,0,
79,19,-1403.703,62.9642,13.681137,0,
80,19,-1162.0365,62.9642,355.12106,0,
81,19,-1398.2686,62.964237,434.30276,0,
